"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","black_pct","hispanic_pct","asian_pct","native_american_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","transport_bus_trolley"
"Autauga","AL","1,000","1.8%","$54,877","$149,449","55,300","596","93","38.2","75.3%","18.6%","2.6%","0.9%","0.4%","88.0%","25.4%","26,989","28,311","2.0","86.8","11.4%","82.0%","11.2%","0.1%"
"Baldwin","AL","4,544","2.2%","$56,732","$189,100","208,563","1596","131","42.4","82.9%","9.3%","4.5%","0.7%","0.6%","89.9%","29.6%","100,902","107,661","2.0","87.2","11.4%","83.9%","7.2%","0.2%"
"Barbour","AL","752","2.8%","$35,093","$95,711","26,735","885","30","39.1","45.4%","48.2%","4.4%",,,"73.9%","13.3%","14,298","12,437","2.0","82.7","24.5%","82.4%","11.8%","0.1%"
"Bibb","AL","301","1.3%","$41,108","$103,024","22,675","623","36","40.6","74.5%","21.5%","2.3%",,,"80.5%","12.5%","12,134","10,541","2.0","82.8","15.3%","84.9%","9.2%","0.3%"
"Blount","AL","2,437","4.2%","$47,759","$131,642","57,967","646","90","41.2","87.3%","1.6%","9.0%",,,"80.2%","13.4%","28,691","29,276","2.0","83.0","15.4%","81.7%","9.0%","0.7%"
"Bullock","AL","158","1.5%","$30,317","$72,075","10,600","625","17","39.6","21.4%","75.8%",,"0.8%","0.8%","66.3%","10.6%","5,742","4,858","2.0","82.1","24.9%","77.6%","11.5%",
"Butler","AL","279","1.4%","$35,464","$87,974","20,372","777","26","41.0","52.3%","43.9%","1.3%","1.1%",,"81.2%","16.6%","9,561","10,811","2.0","82.2","23.8%","87.2%","8.7%",
"Calhoun","AL","2,756","2.4%","$41,687","$115,600","114,611","608","188","39.1","72.6%","20.6%","3.5%","1.0%",,"82.2%","16.5%","55,491","59,120","2.0","82.5","16.3%","87.4%","7.5%","0.2%"
"Chambers","AL","333","1.0%","$37,233","$87,974","34,173","597","57","43.5","56.3%","40.9%",,"1.0%",,"80.1%","12.8%","16,367","17,806","2.0","81.7","18.9%","88.1%","6.8%","0.1%"
"Cherokee","AL","185","0.7%","$40,228","$119,241","26,015","553","47","46.2","91.8%","4.7%","1.6%",,"0.6%","81.3%","14.4%","12,936","13,079","2.0","83.0","15.3%","86.9%","7.6%","0.7%"
"Chilton","AL","2,407","5.5%","$44,020","$105,038","44,017","694","63","39.1","80.2%","10.1%","7.8%","0.5%",,"80.1%","15.3%","21,649","22,368","2.0","82.6","18.8%","83.0%","10.8%",
"Choctaw","AL","21","0.2%","$33,714","$68,471","13,347","914","15","45.6","55.8%","42.6%",,,,"78.8%","12.3%","6,375","6,972","2.0","81.3","19.5%","87.1%","7.6%",
"Clarke","AL","114","0.5%","$33,831","$91,047","24,960","1238","20","42.4","52.8%","45.9%",,,,"80.9%","12.5%","11,787","13,173","2.0","82.3","22.9%","87.2%","7.3%","0.0%"
"Clay","AL","252","1.9%","$40,114","$95,393","13,544","605","22","44.2","80.0%","14.9%","3.2%",,"0.9%","74.5%","11.4%","6,559","6,985","2.0","81.4","15.6%","86.3%","8.1%","0.3%"
"Cleburne","AL","259","1.7%","$37,532","$114,578","15,059","560","27","41.9","92.7%","2.4%","2.4%","0.6%",,"74.1%","11.9%","7,453","7,606","2.0","83.0","18.2%","76.1%","16.0%",
"Coffee","AL","1,884","3.7%","$49,475","$151,357","51,224","679","75","39.7","71.0%","17.2%","6.7%","1.3%","0.8%","85.5%","24.4%","25,315","25,909","2.0","83.9","15.2%","84.8%","8.9%","0.1%"
"Colbert","AL","839","1.5%","$45,252","$108,642","54,625","595","92","42.8","78.6%","15.9%","2.5%",,"0.6%","83.5%","19.0%","26,381","28,244","2.0","82.4","15.3%","90.3%","6.4%","0.1%"
"Conecuh","AL","106","0.8%","$28,533","$76,632","12,755","851","15","44.5","50.3%","46.6%","1.8%",,,"79.3%","9.0%","6,053","6,702","2.0","82.3","30.2%","91.3%","5.5%",
"Coosa","AL","134","1.2%","$32,978","$81,084","10,913","652","17","45.4","64.7%","32.7%","1.3%",,,"72.7%","10.3%","5,377","5,536","2.0","82.2","14.2%","76.8%","6.2%","1.4%"
"Covington","AL","355","0.9%","$38,562","$99,315","37,901","1034","37","43.3","83.3%","13.2%","1.6%","0.5%",,"81.0%","15.3%","18,295","19,606","2.0","82.5","17.6%","87.0%","8.1%","0.1%"
"Crenshaw","AL","314","2.3%","$38,814","$82,250","13,959","610","23","42.0","70.4%","23.9%","1.7%","1.8%","0.9%","78.3%","15.1%","6,891","7,068","2.0","81.5","16.9%","83.2%","8.3%","0.1%"
"Cullman","AL","2,659","3.2%","$39,411","$133,100","82,471","738","112","40.4","92.3%","1.1%","4.3%","0.7%","0.5%","77.4%","16.9%","40,699","41,772","2.0","83.5","14.2%","86.6%","7.7%","0.2%"
"Dale","AL","1,346","2.7%","$45,569","$110,020","49,833","561","89","37.3","69.8%","19.6%","6.1%","1.1%","0.6%","85.9%","16.5%","24,545","25,288","2.0","82.6","19.0%","87.0%","6.7%","0.2%"
"Dallas","AL","603","1.4%","$29,078","$85,854","41,615","981","42","39.3","27.7%","69.8%","1.0%",,,"79.1%","14.2%","19,208","22,407","2.0","82.2","31.9%","85.6%","8.8%","0.2%"
"DeKalb","AL","3,892","5.5%","$35,963","$101,600","70,900","778","91","39.8","80.6%","1.5%","14.4%",,"1.2%","74.4%","10.9%","34,509","36,391","2.0","82.7","21.5%","86.2%","9.2%","0.0%"
"Elmore","AL","686","0.8%","$52,579","$171,000","81,799","621","132","38.3","73.3%","21.4%","2.9%","0.6%",,"86.8%","26.0%","39,956","41,843","2.0","84.5","14.7%","85.9%","8.2%","0.2%"
"Escambia","AL","275","0.7%","$33,416","$99,527","38,048","947","40","40.3","60.3%","32.7%","2.1%",,"3.4%","80.2%","11.9%","19,471","18,577","2.0","82.8","23.4%","92.5%","5.2%","0.2%"
"Etowah","AL","3,578","3.5%","$41,152","$109,400","102,564","535","192","41.2","78.1%","15.5%","3.7%","0.7%",,"81.5%","15.6%","49,861","52,703","2.0","82.2","16.7%","85.4%","7.8%","0.1%"
"Fayette","AL","92","0.6%","$37,417","$80,978","16,859","628","27","44.1","85.0%","12.4%","0.9%",,,"79.3%","14.6%","8,345","8,514","2.0","81.4","16.1%","86.1%","7.9%",
"Franklin","AL","2,773","8.7%","$37,348","$92,213","31,717","636","50","39.5","77.6%","4.1%","16.5%",,"0.7%","75.7%","12.8%","15,618","16,099","2.0","82.1","20.7%","84.6%","11.1%","0.2%"
