"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","black_pct","hispanic_pct","asian_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","transport_bus_trolley","native_american_pct"
"Alachua","FL","28,796","10.9%","$45,304","$177,100","263,496","874","301","31.3","61.7%","19.7%","9.4%","6.3%","91.0%","39.7%","126,827","136,669","2.0","89.1","23.5%","75.1%","9.9%","4.0%",
"Baker","FL","430","1.5%","$55,464","$128,718","28,240","585","48","36.9","81.8%","14.0%","2.4%","0.7%","81.8%","13.1%","14,762","13,478","2.0","81.9","16.9%","83.1%","9.2%",,
"Bay","FL","13,996","7.6%","$49,157","$177,700","183,974","764","241","40.1","77.1%","10.6%","6.0%","2.4%","91.1%","23.3%","91,650","92,324","2.0","88.1","14.6%","82.9%","10.0%","1.1%","0.6%"
"Bradford","FL","663","2.4%","$45,111","$109,043","27,834","293","95","41.5","74.4%","19.3%","4.0%","0.6%","76.6%","12.1%","15,378","12,456","2.0","82.1","17.7%","81.5%","9.5%",,
"Brevard","FL","54,260","9.4%","$51,184","$175,600","579,130","1018","569","47.3","75.0%","9.7%","9.9%","2.4%","91.9%","29.3%","281,982","297,148","2.0","90.0","15.0%","82.6%","7.9%","0.4%",
"Broward","FL","644,831","33.8%","$54,212","$246,100","1,909,632","1205","1584","40.3","37.4%","27.6%","28.7%","3.5%","87.9%","30.8%","929,377","980,255","2.0","113.8","13.5%","79.2%","9.2%","2.9%",
"Calhoun","FL","552","3.7%","$38,575","$95,176","15,044","567","27","41.1","76.8%","13.2%","5.9%","0.7%","76.5%","10.7%","8,204","6,840","2.0","81.9","12.0%","80.8%","13.2%",,"0.8%"
"Charlotte","FL","18,502","10.4%","$44,200","$180,600","178,465","694","257","58.5","84.3%","5.9%","6.9%","0.9%","90.1%","23.7%","87,345","91,120","2.0","91.6","12.6%","78.0%","8.7%","0.2%",
"Citrus","FL","6,595","4.6%","$39,206","$121,900","143,621","584","246","56.4","88.5%","2.8%","5.3%","1.7%","87.2%","20.4%","69,132","74,489","2.0","82.2","16.9%","81.2%","7.4%","0.3%",
"Clay","FL","14,260","6.8%","$56,315","$170,300","208,311","601","347","40.4","73.7%","8.9%","9.6%","2.8%","93.2%","23.5%","101,957","106,354","2.0","88.6","9.7%","80.0%","8.5%","0.1%",
"Collier","FL","98,435","27.0%","$61,228","$357,300","365,136","2025","180","50.3","63.6%","7.0%","27.0%","1.3%","85.1%","33.9%","178,667","186,469","2.0","97.9","11.4%","73.1%","13.9%","1.8%",
"Columbia","FL","3,419","4.9%","$42,019","$111,700","69,299","797","87","41.2","72.8%","17.6%","5.8%","0.9%","83.1%","13.6%","36,080","33,219","2.0","82.6","14.7%","83.0%","11.3%","0.1%",
"DeSoto","FL","6,566","18.1%","$36,936","$97,546","36,328","637","57","40.7","54.1%","12.8%","31.6%",,"70.2%","10.3%","20,577","15,751","2.0","80.1","27.4%","71.8%","13.3%","6.7%",
"Dixie","FL","478","2.9%","$36,022","$82,494","16,631","704","24","46.9","84.6%","7.5%","3.9%","0.4%","77.3%","6.6%","9,076","7,555","2.0","81.6","19.7%","75.7%","12.0%",,
"Duval","FL","92,102","9.9%","$51,980","$164,300","926,255","774","1197","36.1","53.8%","29.0%","9.2%","4.3%","88.8%","29.4%","448,891","477,364","2.0","88.7","14.4%","82.1%","7.9%","2.1%",
"Escambia","FL","15,165","4.8%","$44,788","$131,000","315,187","662","476","37.3","64.6%","22.2%","5.6%","3.0%","90.8%","26.8%","156,201","158,986","2.0","85.8","14.0%","76.1%","10.6%","0.7%","0.5%"
"Flagler","FL","12,485","11.5%","$49,395","$207,900","108,310","485","223","51.1","74.3%","10.4%","10.2%","2.5%","91.0%","23.0%","52,422","55,888","2.0","94.0","11.5%","78.1%","8.4%","0.1%",
"Franklin","FL","404","3.3%","$41,916","$147,564","12,103","544","22","44.3","77.9%","14.1%","5.3%",,"79.5%","17.2%","6,900","5,203","2.0","83.4","18.9%","78.3%","10.6%","0.6%",
"Gadsden","FL","2,539","5.3%","$40,077","$124,570","47,722","516","92","40.8","32.5%","55.2%","10.4%",,"78.7%","17.9%","22,601","25,121","2.0","82.8","23.4%","81.3%","12.3%","0.2%",
"Gilchrist","FL","528","3.0%","$42,519","$111,888","17,612","349","50","42.8","87.0%","6.0%","5.6%",,"82.4%","12.7%","9,264","8,348","2.0","81.9","21.8%","72.9%","15.9%","1.0%",
"Glades","FL","1,754","12.6%","$35,511","$93,872","13,876","774","18","45.6","60.3%","12.1%","21.8%","0.7%","74.0%","9.1%","7,514","6,362","2.0","82.3","18.9%","70.8%","10.6%","0.8%","3.7%"
"Gulf","FL","333","2.0%","$42,458","$155,742","16,390","555","30","45.0","73.4%","18.4%","5.0%","0.6%","82.3%","17.1%","9,531","6,859","2.0","84.1","14.0%","78.7%","11.8%","0.2%","0.4%"
"Hamilton","FL","558","3.8%","$40,542","$84,153","14,850","515","29","41.4","54.3%","33.5%","9.4%",,"74.6%","10.5%","8,660","6,190","2.0","81.1","24.7%","82.4%","11.2%","0.2%","0.7%"
"Hardee","FL","4,230","15.0%","$37,673","$93,398","28,230","637","44","34.7","46.5%","7.5%","44.1%","0.6%","68.5%","9.9%","15,226","13,004","3.0","76.5","24.2%","76.7%","11.7%","0.8%",
"Hendry","FL","11,190","28.2%","$39,057","$83,679","39,681","1153","34","34.2","33.0%","11.1%","52.2%","1.0%","62.6%","9.4%","21,035","18,646","3.0","79.2","24.0%","65.2%","15.2%","7.7%","1.4%"
"Hernando","FL","12,601","6.9%","$47,253","$126,800","182,835","478","382","49.0","78.6%","4.5%","12.4%","1.2%","87.4%","18.8%","87,602","95,233","2.0","93.8","15.6%","81.3%","7.4%","0.3%",
"Highlands","FL","11,464","11.4%","$36,490","$92,100","100,917","1028","98","54.4","68.1%","9.8%","19.1%","1.5%","85.7%","13.0%","47,825","53,092","2.0","80.5","18.8%","81.7%","9.6%","0.8%",
"Hillsborough","FL","236,293","17.2%","$54,588","$195,800","1,376,238","1051","1310","37.0","50.0%","15.4%","27.6%","3.9%","88.0%","32.3%","670,193","706,045","2.0","95.5","15.1%","80.6%","8.6%","1.4%",
"Holmes","FL","363","1.8%","$38,937","$107,502","20,234","482","42","42.8","87.1%","8.0%","1.7%",,"77.9%","12.7%","10,816","9,418","2.0","82.2","23.8%","79.7%","11.4%","0.6%","0.6%"
"Indian River","FL","15,226","10.0%","$49,072","$183,600","151,563","503","301","53.0","75.7%","8.8%","12.3%","1.3%","87.3%","28.7%","72,644","78,919","2.0","90.5","11.9%","79.2%","10.8%","0.4%",
"Jackson","FL","1,754","3.5%","$36,891","$109,280","50,378","916","55","41.8","65.2%","26.6%","4.8%","0.6%","78.2%","14.1%","27,914","22,464","2.0","82.3","20.9%","86.7%","7.6%","0.1%","0.6%"
"Jefferson","FL","444","3.1%","$43,367","$146,142","14,560","598","24","46.0","57.6%","35.7%","4.2%",,"79.9%","19.5%","7,735","6,825","2.0","83.7","14.5%","76.2%","7.4%","0.1%",
"Lafayette","FL","403","4.5%","$37,688","$133,222","9,039","543","17","38.9","68.7%","16.5%","13.4%",,"74.6%","14.0%","5,184","3,855","2.0","83.2","16.5%","78.0%","13.6%","0.2%",
"Lake","FL","27,090","8.1%","$50,226","$163,600","335,396","953","352","46.7","71.1%","10.1%","14.7%","1.9%","89.5%","23.0%","163,604","171,792","2.0","91.2","11.5%","79.1%","9.3%","0.5%",
"Lee","FL","112,690","15.6%","$52,909","$210,900","722,336","804","899","48.2","68.3%","8.1%","20.5%","1.5%","87.4%","28.3%","354,048","368,288","2.0","92.9","12.9%","79.8%","9.4%","0.4%",
"Leon","FL","21,146","7.3%","$51,107","$197,600","287,822","667","432","30.8","56.7%","30.4%","6.2%","3.5%","93.7%","47.6%","136,318","151,504","2.0","90.0","19.3%","80.7%","11.8%","0.9%",
