"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","black_pct","hispanic_pct","asian_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","native_american_pct","transport_bus_trolley"
"Appling","GA","841","4.5%","$39,235","$78,913","18,794","509","37","39.1","69.3%","18.6%","9.6%","0.8%","76.2%","12.4%","9,145","9,649","2.0","80.1","18.5%","84.4%","9.8%",,
"Atkinson","GA","1,127","13.4%","$32,842","$68,843","8,440","338","25","35.6","55.6%","18.2%","25.3%",,"67.6%","6.9%","4,326","4,114","2.0","80.1","24.8%","78.9%","14.8%","0.7%",
"Bacon","GA","550","4.8%","$39,146","$70,157","11,486","285","40","37.2","73.3%","15.7%","8.4%",,"80.0%","13.7%","5,705","5,781","2.0","80.0","16.4%","82.1%","15.2%",,
"Baker","GA","171","5.2%","$48,171","$99,270","3,317","343","10","46.3","49.4%","41.8%","6.7%","0.8%","78.6%","11.4%","1,607","1,710","2.0","79.8","14.1%","87.8%","6.5%",,
"Baldwin","GA","1,220","2.6%","$36,304","$113,498","46,765","258","181","34.6","52.3%","42.2%","2.2%","1.6%","81.8%","19.1%","23,441","23,324","2.0","82.3","26.7%","85.8%","7.9%",,"0.1%"
"Banks","GA","928","5.0%","$42,733","$132,214","18,719","234","80","41.2","87.9%","2.4%","6.5%","1.3%","75.3%","11.4%","9,456","9,263","2.0","82.2","13.9%","81.6%","8.2%",,
"Barrow","GA","5,711","7.4%","$54,256","$142,300","77,126","162","476","35.5","72.8%","11.4%","9.8%","3.7%","83.5%","18.3%","37,956","39,170","2.0","95.1","14.3%","81.8%","10.2%",,"0.1%"
"Bartow","GA","5,507","5.3%","$51,405","$155,700","103,807","459","226","37.2","78.2%","11.0%","8.2%","0.9%","82.9%","19.4%","51,468","52,339","2.0","95.3","16.6%","81.1%","9.1%","0.4%","0.6%"
"Ben Hill","GA","433","2.4%","$30,968","$88,763","17,768","252","71","39.4","56.0%","36.4%","6.2%",,"80.9%","10.9%","8,558","9,210","2.0","80.9","31.5%","84.0%","11.3%",,
"Berrien","GA","621","3.2%","$37,506","$90,076","19,382","452","43","39.5","81.9%","10.6%","5.0%","0.9%","80.3%","12.7%","9,576","9,806","2.0","80.9","23.0%","80.0%","10.4%",,"0.4%"
