"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","black_pct","white_pct","hispanic_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","transport_bus_trolley","asian_pct","native_american_pct"
"Adams","MS","2,176","6.9%","$32,229","$96,335","31,742","460","69","41.0","53.8%","37.1%","8.0%","81.8%","18.7%","15,798","15,944","2.0","82.4","28.4%","88.4%","6.6%","0.1%",,
"Alcorn","MS","548","1.5%","$40,068","$93,211","37,303","400","93","40.2","11.7%","83.1%","3.1%","82.5%","17.2%","18,235","19,068","2.0","79.5","18.6%","89.9%","6.8%","0.1%",,
"Amite","MS","47","0.4%","$28,160","$78,771","12,690","730","17","46.7","42.5%","56.9%",,"77.5%","12.6%","6,261","6,429","2.0","80.1","26.1%","78.8%","9.1%","2.4%",,
"Attala","MS","123","0.6%","$34,016","$80,495","19,082","735","26","41.2","42.4%","54.2%","1.9%","77.8%","15.3%","8,938","10,144","2.0","79.1","22.8%","80.8%","10.5%","0.2%",,
"Benton","MS","61","0.7%","$37,400","$78,986","8,376","407","21","42.7","37.4%","59.7%","2.3%","77.2%","11.9%","4,131","4,245","2.0","78.8","21.2%","81.1%","11.8%",,,
"Bolivar","MS","550","1.6%","$28,287","$92,779","33,609","876","38","35.4","64.7%","31.9%","2.1%","75.8%","22.3%","15,671","17,938","2.0","80.6","35.3%","81.7%","10.9%","0.4%","0.8%",
"Calhoun","MS","373","2.5%","$32,083","$72,629","14,721","587","25","41.1","27.5%","64.9%","5.5%","75.4%","11.3%","6,972","7,749","2.0","78.9","24.6%","87.7%","6.6%","0.2%",,
"Carroll","MS","89","0.9%","$41,496","$96,874","10,299","628","16","45.8","33.9%","64.2%",,"82.2%","16.7%","5,195","5,104","2.0","78.3","16.2%","82.9%","6.6%","1.4%",,
"Chickasaw","MS","399","2.3%","$31,987","$64,655","17,354","502","35","37.6","43.9%","50.7%","4.2%","73.8%","11.4%","8,382","8,972","2.0","78.8","25.4%","80.9%","13.1%","0.4%",,
"Choctaw","MS","19","0.2%","$33,949","$83,405","8,318","419","20","43.6","31.8%","67.1%",,"82.5%","16.0%","4,010","4,308","2.0","79.3","22.8%","80.5%","12.3%","0.2%",,
"Claiborne","MS","72","0.8%","$25,756","$60,560","9,207","487","19","33.4","85.2%","12.4%","1.3%","78.5%","19.9%","4,281","4,926","2.0","79.3","38.5%","86.2%","8.6%","0.4%","0.8%",
"Clarke","MS","55","0.3%","$37,543","$73,491","16,200","691","23","42.6","35.2%","63.2%","1.0%","81.1%","14.5%","7,566","8,634","2.0","79.0","17.9%","80.2%","8.0%","0.6%",,
"Clay","MS","120","0.6%","$34,144","$87,930","20,143","409","49","39.1","58.7%","38.9%","1.3%","79.9%","19.5%","9,282","10,861","2.0","80.1","24.3%","86.5%","7.7%","0.1%","0.6%",
"Coahoma","MS","168","0.7%","$29,070","$67,349","24,800","554","45","34.4","77.5%","21.6%",,"78.5%","17.8%","11,402","13,398","2.0","80.6","32.9%","81.0%","12.3%","0.1%",,
"Copiah","MS","645","2.2%","$35,788","$95,689","28,775","777","37","38.5","51.8%","44.4%","2.9%","78.9%","13.3%","13,730","15,045","2.0","80.1","26.2%","85.8%","9.9%","0.4%",,
"Covington","MS","62","0.3%","$32,642","$77,909","19,499","414","47","38.7","37.6%","60.8%","0.7%","80.5%","15.0%","9,238","10,261","2.0","79.8","24.1%","80.9%","13.6%","0.6%",,
"DeSoto","MS","5,818","3.3%","$64,505","$158,600","175,611","478","367","37.2","25.1%","67.2%","4.8%","90.8%","25.1%","85,225","90,386","2.0","87.7","10.4%","85.8%","9.0%","0.1%","1.3%",
"Forrest","MS","2,984","3.9%","$37,275","$112,400","75,979","467","163","31.9","37.3%","57.0%","3.1%","89.1%","24.9%","35,478","40,501","2.0","81.9","27.4%","83.2%","8.4%","0.2%","0.9%",
"Franklin","MS","29","0.4%","$41,293","$80,172","7,816","565","14","43.1","36.2%","62.8%","1.0%","85.2%","17.2%","3,786","4,030","2.0","78.4","17.5%","84.8%","6.8%",,,
"George","MS","377","1.6%","$48,744","$105,279","23,309","478","49","37.3","7.1%","87.9%","2.4%","81.4%","13.5%","11,660","11,649","2.0","79.8","16.8%","85.3%","8.3%","0.5%","1.2%",
"Greene","MS","57","0.4%","$41,281","$95,150","13,938","713","20","37.9","25.9%","71.4%","1.0%","76.0%","8.1%","8,136","5,802","2.0","79.3","16.9%","87.1%","6.6%",,,
"Grenada","MS","27","0.1%","$34,025","$102,262","21,514","422","51","40.8","44.2%","54.9%",,"78.2%","17.4%","10,214","11,300","2.0","80.4","22.5%","87.7%","8.9%","1.2%",,
"Hancock","MS","862","1.9%","$47,949","$139,977","46,020","477","97","42.4","9.7%","85.1%","3.7%","85.3%","21.7%","22,259","23,761","2.0","87.9","17.3%","83.7%","11.5%","0.0%",,
"Harrison","MS","8,368","4.1%","$42,770","$140,600","203,234","581","350","35.6","24.3%","64.3%","5.4%","87.3%","20.2%","99,744","103,490","2.0","88.6","20.8%","83.4%","8.9%","0.6%","2.8%","0.6%"
"Hinds","MS","5,330","2.2%","$43,657","$105,600","241,229","869","278","34.4","71.5%","25.4%","1.5%","88.0%","29.7%","112,687","128,542","2.0","85.4","19.4%","85.1%","10.7%","0.4%","0.8%",
"Holmes","MS","26","0.1%","$21,429","$55,819","18,544","756","25","34.3","83.3%","15.5%",,"75.3%","12.0%","8,773","9,771","2.0","79.2","42.0%","83.3%","11.0%","0.3%",,
"Humphreys","MS","97","1.1%","$24,151","$66,271","8,820","418","21","36.1","75.9%","21.2%","2.7%","65.9%","14.4%","4,149","4,671","2.0","79.5","39.7%","78.8%","17.9%",,,
"Issaquena","MS","4","0.3%","$25,041","$61,853","1,351","413","3","42.9","60.7%","38.7%",,"67.2%","9.4%","825","526","2.0","78.3","37.7%","71.2%","18.4%","1.3%",,
"Itawamba","MS","149","0.6%","$36,450","$90,948","23,507","532","44","40.5","6.7%","90.8%","1.4%","76.7%","13.6%","11,567","11,940","2.0","79.9","18.9%","78.8%","13.3%",,,
"Jackson","MS","3,986","2.8%","$54,606","$121,500","141,241","727","194","38.0","21.7%","68.5%","5.5%","89.0%","22.6%","67,681","73,560","2.0","87.1","18.2%","83.4%","12.2%","0.1%","2.1%",
"Jasper","MS","46","0.3%","$36,051","$70,581","16,535","676","24","42.2","54.1%","45.1%",,"84.2%","14.1%","7,986","8,549","2.0","79.5","20.6%","84.2%","9.2%","0.4%",,
"Jefferson","MS","41","0.5%","$24,492","$64,547","7,526","519","14","36.8","86.4%","13.0%",,"79.5%","18.4%","3,707","3,819","2.0","78.6","37.1%","90.4%","5.5%",,,
"Jefferson Davis","MS","17","0.1%","$27,228","$87,715","11,769","408","29","43.7","61.7%","37.8%",,"80.8%","15.0%","5,668","6,101","2.0","80.4","32.4%","84.5%","11.7%","1.1%",,
"Jones","MS","1,768","2.6%","$43,350","$93,400","67,953","694","98","36.8","29.4%","64.7%","4.2%","83.2%","18.8%","32,765","35,188","2.0","79.4","20.1%","88.1%","7.5%","0.3%","0.5%",
