"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","hispanic_pct","white_pct","native_american_pct","asian_pct","black_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty"
"Bernalillo","NM","66,932","9.9%","$50,601","$194,200","676,953","1166","581","37.4","49.7%","39.0%","4.2%","2.6%","2.4%","88.9%","33.6%","331,988","344,965","2.0","93.3","16.5%"
"Catron","NM","87","2.5%","$39,038","$167,085","3,544","6928","1","58.9","19.8%","78.0%",,,"0.9%","93.1%","25.3%","1,857","1,687","2.0","87.1","21.7%"
"Chaves","NM","9,792","15.0%","$40,960","$103,700","65,282","6071","11","35.1","55.8%","40.1%","0.7%","0.8%","1.7%","75.6%","22.3%","33,230","32,052","2.0","82.0","22.9%"
"Cibola","NM","1,786","6.5%","$37,010","$90,073","27,351","4539","6","36.3","38.4%","19.9%","38.1%","0.6%","0.9%","80.9%","12.8%","13,867","13,484","2.0","84.4","26.0%"
"Colfax","NM","446","3.5%","$33,461","$114,638","12,705","3757","3","48.9","49.8%","46.5%","1.1%","0.6%",,"89.4%","22.7%","6,422","6,283","2.0","85.7","20.3%"
"Curry","NM","4,197","8.3%","$43,161","$130,497","50,503","1406","36","31.2","41.1%","48.8%","0.9%","1.7%","5.7%","83.8%","20.2%","26,181","24,322","2.0","84.2","20.5%"
"De Baca","NM","78","4.0%","$31,930","$72,556","1,975","2325","1","50.4","48.5%","46.1%",,,,"86.0%","9.8%","913","1,062","2.0","84.2","18.9%"
"Dona Ana","NM","37,484","17.5%","$37,496","$141,300","214,207","3807","56","33.5","68.0%","27.7%","0.8%","1.1%","1.6%","80.0%","26.1%","105,526","108,681","2.0","85.7","27.1%"
"Eddy","NM","3,377","6.0%","$61,027","$138,996","56,324","4182","13","36.9","47.5%","48.4%","1.2%","0.5%","1.4%","85.2%","17.3%","28,429","27,895","2.0","82.1","13.0%"
"Grant","NM","1,079","3.7%","$39,804","$139,929","28,856","3966","7","47.0","50.4%","46.1%","1.1%",,,"86.6%","27.9%","14,240","14,616","2.0","83.8","20.4%"
"Guadalupe","NM","84","1.9%","$27,319","$87,274","4,465","3030","1","41.7","78.1%","18.8%","1.2%",,"1.3%","76.4%","14.2%","2,598","1,867","2.0","84.6","13.4%"
"Harding","NM","0","0.2%","$33,165","$68,202","564","2125","0","58.8","42.9%","56.8%",,,,"89.9%","26.5%","289","275","1.0","83.6","13.5%"
"Hidalgo","NM","396","8.7%","$35,339","$80,640","4,527","3446","1","42.9","58.1%","40.8%",,,,"77.8%","15.8%","2,224","2,303","2.0","84.0","23.1%"
"Lea","NM","12,698","18.2%","$55,636","$120,200","69,749","4393","16","31.5","56.6%","37.4%","0.6%",,"3.3%","70.0%","14.3%","35,234","34,515","2.0","82.0","21.3%"
"Lincoln","NM","1,683","8.5%","$41,007","$176,621","19,710","4831","4","51.6","32.3%","63.1%","1.5%",,"0.6%","90.6%","29.3%","9,724","9,986","2.0","87.5","17.0%"
"Los Alamos","NM","1,722","9.6%","$108,392","$284,211","17,880","109","164","44.1","17.2%","72.5%","1.1%","6.5%","0.5%","98.0%","65.1%","9,175","8,705","2.0","84.7","4.8%"
"Luna","NM","4,037","16.4%","$27,968","$88,414","24,607","2965","8","38.9","65.8%","31.2%","0.8%",,"1.1%","69.7%","12.8%","12,210","12,397","2.0","81.9","28.0%"
"McKinley","NM","1,942","2.6%","$31,526","$68,500","74,923","5449","14","31.6","14.0%","8.9%","73.6%","1.0%",,"73.3%","9.8%","35,991","38,932","3.0","84.7","36.9%"
"Mora","NM","34","0.8%","$21,688","$91,213","4,594","1931","2","41.9","80.3%","13.4%",,,,"89.0%","13.5%","2,371","2,223","2.0","87.0","21.4%"
"Otero","NM","7,028","10.7%","$43,646","$102,700","65,410","6627","10","35.8","37.8%","49.3%","6.3%","1.5%","3.4%","86.0%","18.0%","33,001","32,409","2.0","82.7","21.4%"
"Quay","NM","247","2.9%","$28,821","$75,251","8,548","2875","3","47.1","45.2%","50.0%",,"0.8%","2.0%","84.0%","15.5%","4,254","4,294","2.0","79.7","18.3%"
"Rio Arriba","NM","2,052","5.1%","$34,770","$164,909","39,892","5858","7","40.3","71.9%","12.4%","14.0%",,,"85.0%","18.5%","19,584","20,308","2.0","87.3","22.2%"
"Roosevelt","NM","2,111","10.8%","$35,754","$120,650","19,602","2448","8","30.1","41.4%","52.8%","0.8%",,"2.3%","80.5%","23.1%","9,831","9,771","2.0","84.1","24.5%"
"San Juan","NM","3,292","2.9%","$52,003","$153,100","115,079","5514","21","36.3","20.6%","41.7%","34.4%","0.6%","0.5%","85.3%","16.6%","56,584","58,495","2.0","86.3","16.9%"
"San Miguel","NM","947","3.3%","$27,634","$127,594","28,327","4717","6","42.8","78.1%","17.7%","1.0%","0.7%","1.4%","82.3%","19.7%","14,250","14,077","2.0","87.4","28.6%"
"Sandoval","NM","8,706","6.1%","$57,158","$180,200","142,025","3709","38","38.8","38.1%","44.0%","12.2%","1.0%","2.0%","88.8%","31.7%","69,889","72,136","2.0","93.5","16.2%"
"Santa Fe","NM","15,689","10.6%","$57,863","$278,000","148,651","1909","78","46.0","51.0%","42.8%","2.6%","1.3%","0.8%","89.7%","41.7%","72,532","76,119","2.0","97.6","14.3%"
"Sierra","NM","450","3.9%","$30,376","$93,182","11,432","4180","3","56.8","30.3%","65.5%",,,"0.6%","83.6%","18.1%","5,655","5,777","1.0","81.8","21.0%"
