"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","hispanic_pct","native_american_pct","asian_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","transport_bus_trolley","black_pct"
"Baker","OR","308","1.9%","$45,060","$170,843","16,477","3068","5","48.3","91.1%","4.0%","1.3%","0.8%","90.0%","23.9%","8,351","8,126","2.0","83.1","12.8%","72.5%","10.9%","0.0%",
"Benton","OR","7,413","8.3%","$55,459","$312,400","89,385","676","132","32.5","81.1%","7.2%","0.6%","6.5%","95.8%","54.2%","44,722","44,663","2.0","98.3","20.5%","68.0%","8.0%","1.3%","1.0%"
"Clackamas","OR","32,026","7.8%","$74,891","$374,900","408,062","1868","218","41.3","82.5%","8.4%","0.6%","3.9%","93.7%","36.0%","200,839","207,223","2.0","104.1","8.8%","73.8%","9.6%","1.3%","0.9%"
"Clatsop","OR","1,855","4.8%","$51,291","$285,009","38,711","827","47","43.8","85.6%","8.4%",,"1.2%","91.8%","25.0%","19,262","19,449","2.0","89.4","11.9%","73.5%","11.7%","0.8%","0.7%"
"Columbia","OR","1,556","3.0%","$59,558","$247,612","51,031","657","78","43.4","88.9%","4.8%","1.2%","1.1%","89.8%","19.8%","25,596","25,435","2.0","101.7","11.4%","74.7%","9.7%",,"0.6%"
"Coos","OR","2,384","3.7%","$42,239","$197,323","64,701","1600","40","48.3","85.0%","6.4%","2.1%","1.2%","88.4%","19.1%","31,747","32,954","2.0","86.0","15.4%","77.2%","9.7%","0.9%","0.7%"
"Crook","OR","399","1.8%","$42,749","$200,459","21,929","2979","7","48.4","88.1%","7.7%","1.0%",,"86.7%","16.8%","10,760","11,169","2.0","87.8","15.0%","79.0%","9.3%",,
"Curry","OR","797","3.5%","$41,754","$257,949","22,988","1627","14","55.2","86.7%","6.7%","1.8%","0.6%","89.5%","24.5%","11,216","11,772","2.0","90.7","12.9%","75.8%","10.2%","0.0%",
"Deschutes","OR","6,518","3.6%","$61,870","$317,500","181,307","3018","60","41.8","87.4%","7.9%","0.5%","1.0%","92.3%","32.8%","89,988","91,319","2.0","98.7","10.7%","75.1%","10.2%","0.1%","0.5%"
"Douglas","OR","3,547","3.3%","$42,889","$183,400","108,457","5037","22","47.2","88.2%","5.4%","1.0%","0.9%","89.0%","17.5%","54,065","54,392","2.0","84.9","14.8%","79.3%","10.3%","0.2%",
"Gilliam","OR","50","2.6%","$43,800","$131,007","1,966","1204","2","46.6","86.4%","10.0%","2.8%",,"89.0%","17.6%","995","971","2.0","85.8","9.5%","75.3%","7.2%","0.9%",
