"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","hispanic_pct","native_american_pct","black_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","asian_pct","transport_bus_trolley"
"Barbour","WV","52","0.3%","$37,371","$109,337","16,754","341","49","41.5","95.7%","0.9%","0.8%","0.8%","81.5%","13.7%","8,072","8,682","2.0","85.3","22.6%","74.3%","8.9%",,
"Berkeley","WV","5,061","4.5%","$57,357","$174,100","113,525","321","354","38.2","84.3%","4.0%",,"7.9%","87.1%","20.7%","55,447","58,078","2.0","105.1","14.1%","82.5%","9.4%","1.0%","0.2%"
"Boone","WV","67","0.3%","$38,477","$80,027","23,453","503","47","42.4","97.8%","0.6%",,"0.9%","79.0%","9.3%","11,584","11,869","2.0","84.6","26.3%","82.7%","11.7%",,
"Braxton","WV","28","0.2%","$38,753","$92,761","14,345","513","28","45.4","97.3%","1.3%",,,"80.9%","13.0%","7,143","7,202","2.0","84.5","20.4%","82.9%","5.6%",,"0.1%"
"Brooke","WV","243","1.0%","$47,068","$97,921","23,282","89","262","46.6","95.7%","0.9%",,"1.8%","90.7%","21.1%","11,264","12,018","2.0","90.7","12.9%","81.9%","6.7%",,"0.9%"
"Cabell","WV","1,271","1.3%","$38,823","$126,600","95,987","282","341","38.0","89.8%","1.4%",,"5.5%","86.8%","25.6%","46,975","49,012","2.0","84.7","23.2%","83.5%","8.8%","1.3%","0.7%"
"Calhoun","WV","67","0.9%","$40,068","$87,821","7,421","281","26","48.1","97.4%","1.1%",,,"76.9%","12.7%","3,639","3,782","2.0","84.6","16.0%","87.0%","5.1%",,
"Clay","WV","24","0.3%","$34,223","$85,296","8,959","342","26","43.8","97.8%",,"0.6%",,"72.0%","10.8%","4,466","4,493","2.0","84.3","23.3%","79.3%","12.7%",,
"Doddridge","WV","73","0.9%","$40,065","$105,056","8,295","320","26","42.3","95.7%",,,"1.3%","78.5%","15.7%","4,427","3,868","2.0","85.0","15.5%","76.8%","9.9%",,
"Fayette","WV","341","0.8%","$38,503","$89,248","44,825","664","68","43.8","91.9%","1.0%",,"5.6%","82.1%","14.0%","22,433","22,392","2.0","84.7","19.3%","80.8%","8.2%",,"0.4%"
"Gilmer","WV","240","2.9%","$37,933","$92,761","8,428","340","25","38.2","82.3%","3.7%",,"11.8%","80.9%","17.0%","5,016","3,412","2.0","84.8","26.4%","73.0%","13.0%",,"0.1%"
"Grant","WV","7","0.1%","$39,375","$143,478","11,674","477","24","46.6","96.6%","1.2%",,"1.6%","82.1%","14.9%","5,834","5,840","2.0","86.3","13.2%","82.8%","8.7%",,
"Greenbrier","WV","447","1.3%","$40,721","$120,754","35,291","1021","35","45.8","93.2%","1.4%",,"2.8%","84.3%","20.8%","17,167","18,124","2.0","86.0","18.5%","82.3%","9.2%",,"0.4%"
"Hampshire","WV","169","0.7%","$32,736","$137,879","23,264","642","36","45.5","95.9%","1.3%","0.5%","1.2%","79.8%","12.1%","11,931","11,333","2.0","86.9","17.1%","80.9%","8.4%",,
"Hancock","WV","513","1.7%","$41,016","$95,066","29,780","83","360","46.1","94.0%","1.4%",,"2.6%","87.9%","19.3%","14,377","15,403","2.0","91.3","14.6%","88.0%","5.0%",,"1.1%"
"Hardy","WV","584","4.2%","$40,532","$132,939","13,828","583","24","45.1","90.3%","4.2%",,"4.6%","80.4%","15.6%","6,848","6,980","2.0","86.2","13.9%","77.5%","10.5%","0.5%","1.7%"
"Harrison","WV","285","0.4%","$47,204","$113,300","68,400","416","164","41.8","94.4%","1.5%",,"2.0%","88.4%","25.1%","33,222","35,178","2.0","82.3","13.2%","84.6%","8.0%","0.5%","0.7%"
"Jackson","WV","298","1.0%","$41,660","$124,487","28,961","466","62","43.3","97.2%",,"0.6%",,"87.2%","18.8%","14,262","14,699","2.0","85.7","15.1%","84.4%","8.5%","0.6%",
"Jefferson","WV","3,117","5.7%","$70,965","$236,349","55,080","210","263","40.5","83.3%","5.3%",,"7.4%","90.2%","31.8%","27,169","27,911","2.0","132.9","11.0%","77.8%","8.5%","1.4%","0.2%"
"Kanawha","WV","3,195","1.7%","$45,001","$119,000","186,241","903","206","43.4","87.5%","1.1%",,"5.7%","87.3%","25.2%","88,537","97,704","2.0","86.0","17.3%","83.1%","7.1%","1.1%","3.0%"
