zip_code,population,foreign_born_pct,foreign_born,median_household_income,median_home_price,population_density,land_area,median_age,w+h/fb,w+h,white,w_pct,black,b_pct,hispanic,h_pct,asian,a_pct,native_american,na_pct,male_pct,female_pct,cost_of_living_index,poverty,bachelors_degree,graduate_degree,hs_diploma,mean_travel_to_work,household_size,transport_carpool,transport_bus_trolley,transport_auto_alone
95030,"13,670",17.50%,"2,395","$178,810 ","$2,198,395 ","1,307",10.5,49.2,467.54%,81.82%,"10,543",77.13%,57,0.42%,642,4.70%,"1,152",8.43%,14,0.10%,48.80%,51.20%,156,3.70%,77.50%,36.50%,100.00%,28.7,2.5,4.60%,0.10%,81.60%
95046,"6,389",21.10%,"1,348","$113,889 ","$918,671 ",328,19.5,46,430.85%,90.91%,"2,924",45.77%,26,0.41%,"2,884",45.14%,420,6.57%,20,0.31%,51.60%,48.40%,145.7,8.50%,27.10%,13.10%,78.70%,29.6,3.4,13.20%,1.40%,75.60%
95125,"54,669",18.60%,"10,160","$111,434 ","$932,989 ","6,842",8,41.4,418.55%,77.85%,"29,499",53.96%,"1,480",2.71%,"13,063",23.89%,"5,834",10.67%,149,0.27%,47.80%,52.20%,146,7.20%,53.60%,21.70%,93.00%,28.6,2.5,8.60%,2.00%,75.90%
95037,"49,228",19.00%,"9,338","$104,466 ","$787,369 ",202,243.3,40.1,412.79%,78.43%,"23,380",47.49%,720,1.46%,"15,231",30.94%,"4,413",8.96%,162,0.33%,49.00%,51.00%,144.8,7.70%,40.00%,14.90%,90.50%,34,3,9.70%,1.60%,77.00%
95032,"26,400",20.60%,"5,442","$129,454 ","$1,338,105 ","1,662",15.9,44.6,379.47%,78.17%,"18,716",70.89%,220,0.83%,"1,920",7.27%,"3,060",11.59%,49,0.19%,49.70%,50.30%,151.4,4.80%,65.20%,29.20%,98.60%,28.4,2.6,5.40%,0.70%,80.80%
95124,"49,861",22.10%,"11,005","$122,507 ","$921,557 ","7,588",6.6,39.9,342.13%,75.61%,"29,547",59.26%,730,1.46%,"8,154",16.35%,"6,416",12.87%,117,0.23%,49.80%,50.20%,145.1,4.30%,50.80%,21.30%,94.80%,28.4,2.9,7.10%,1.00%,81.50%
95020,"62,361",25.60%,"15,944","$89,839 ","$629,096 ",400,156,34.4,321.72%,82.36%,"19,233",30.84%,774,1.24%,"32,129",51.52%,"3,689",5.92%,217,0.35%,49.40%,50.60%,142.8,11.70%,26.40%,8.80%,78.90%,33.4,3.4,13.50%,1.50%,73.10%
95118,"32,326",25.10%,"8,108","$101,558 ","$785,482 ","7,809",4.1,39.1,317.89%,79.79%,"17,353",53.68%,610,1.89%,"8,440",26.11%,"4,017",12.43%,87,0.27%,49.40%,50.60%,145.2,8.60%,45.40%,18.20%,92.10%,28.6,2.8,8.50%,1.40%,81.30%
95139,"7,186",22.60%,"1,622","$125,162 ","$685,035 ","5,838",1.2,38.8,316.55%,71.54%,"3,238",45.06%,236,3.28%,"1,903",26.48%,"1,036",14.42%,26,0.36%,51.00%,49.00%,142.4,3.70%,45.60%,15.10%,91.60%,37.8,3.2,19.00%,2.50%,67.90%
95008,"47,174",26.00%,"12,251","$106,810 ","$891,922 ","7,380",6.4,39.2,279.27%,72.61%,"26,081",55.29%,"1,271",2.69%,"8,172",17.32%,"7,572",16.05%,115,0.24%,49.30%,50.70%,146.8,6.80%,52.20%,19.30%,95.10%,26.3,2.6,7.00%,1.90%,80.70%
