"zip_code","population","foreign_born_pct","foreign_born","median_household_income","median_home_price","population_density","land_area","median_age","white","black","hispanic","asian","native_american","male_pct","female_pct","cost_of_living_index","poverty","bachelors_degree","graduate_degree","hs_diploma","mean_travel_to_work","household_size","transport_carpool","transport_bus_trolley","transport_auto_alone"
"33004","16,763","23.4%","3,915","$43,094","$193,901","2,943","5.7","41.2","7,714","4,785","2,540","239","27","48.5%","51.5%","113.2","23.9%","24.6%","7.5%","86.2%","29.8","2.4","5.4%","4.5%","73.8%"
"33009","41,420","49.3%","20,414","$35,155","$175,920","8,144","5.1","46.8","18,992","6,773","12,438","552","44","48.1%","51.9%","113.9","20.2%","31.0%","11.8%","86.2%","29.3","2.1","7.9%","4.3%","77.0%"
"33019","15,137","35.2%","5,324","$78,842","$416,659","3,841","3.9","51.3","11,198","337","3,177","185","10","51.5%","48.5%","115.9","9.7%","48.3%","23.5%","94.3%","30.0","2.1","4.1%","0.3%","71.5%"
"33020","44,821","35.5%","15,923","$38,478","$175,365","7,405","6.1","39.8","17,065","10,338","12,253","623","118","51.2%","48.8%","112.5","22.6%","22.7%","7.1%","86.1%","29.9","2.4","10.8%","5.7%","71.5%"
"33021","48,993","32.5%","15,938","$55,208","$240,184","5,630","8.7","44.2","25,459","5,249","13,183","1,097","75","48.4%","51.6%","113.2","11.8%","30.8%","12.1%","88.2%","27.5","2.6","10.8%","2.6%","78.7%"
"33023","71,927","40.2%","28,902","$47,963","$172,924","7,465","9.6","36.1","9,053","33,265","18,363","1,088","147","48.1%","51.9%","111.9","16.1%","16.1%","5.1%","81.4%","30.2","3.5","9.6%","4.4%","82.0%"
"33024","74,081","35.4%","26,211","$55,714","$195,566","6,896","10.7","37.1","21,795","8,916","28,523","2,679","562","48.3%","51.7%","112.3","11.3%","24.0%","8.0%","87.0%","30.0","3.2","9.7%","1.7%","83.9%"
"33025","65,992","40.8%","26,894","$56,772","$195,122","6,115","10.8","34.6","7,602","28,787","18,531","2,352","95","46.0%","54.0%","112.8","11.4%","29.4%","9.8%","93.8%","29.9","2.9","4.8%","1.3%","90.9%"
"33026","30,911","32.3%","9,989","$69,946","$243,070","6,823","4.5","43.7","14,158","3,248","9,411","1,031","52","47.1%","52.9%","113.7","6.1%","42.2%","16.2%","94.6%","30.8","2.7","6.4%","1.2%","83.3%"
"33027","61,869","45.9%","28,425","$65,336","$293,127","4,635","13.3","42.8","13,026","13,052","26,419","3,908","60","44.9%","55.1%","114.7","7.0%","37.8%","14.9%","93.0%","31.3","2.9","7.4%","1.3%","85.2%"
"33028","28,946","39.6%","11,474","$98,370","$355,060","5,034","5.7","38.2","7,590","4,178","11,936","2,221","43","47.5%","52.5%","115.3","4.6%","46.6%","17.8%","95.7%","31.8","3.5","10.9%","0.5%","79.5%"
"33029","47,394","35.4%","16,793","$100,366","$370,598","2,690","17.6","38.7","12,381","7,657","21,416","2,646","47","50.8%","49.2%","117.1","4.9%","41.8%","16.3%","94.9%","35.5","3.7","7.7%","0.3%","85.1%"
"33060","36,103","25.2%","9,103","$42,182","$210,217","5,132","7.0","36.7","13,593","12,508","5,205","287","52","50.8%","49.2%","113.5","23.2%","19.9%","6.0%","79.9%","27.4","2.8","12.7%","5.9%","69.2%"
"33062","21,771","20.0%","4,359","$58,380","$329,421","5,726","3.8","59.1","20,830","516","2,029","259","45","49.3%","50.7%","115.1","11.7%","44.1%","16.9%","94.3%","25.9","1.8","4.6%","0.8%","79.6%"
"33063","54,502","33.0%","17,980","$46,182","$142,956","6,122","8.9","44.2","25,931","10,520","11,152","1,923","83","46.4%","53.6%","111.8","11.1%","22.8%","6.7%","87.6%","29.0","2.6","9.9%","1.4%","82.4%"
"33064","60,115","37.3%","22,398","$47,396","$151,724","5,746","10.5","38.9","25,755","13,834","10,554","724","116","50.7%","49.3%","111.1","19.1%","22.5%","6.8%","81.5%","25.7","2.9","12.6%","2.8%","74.6%"
"33065","56,661","32.4%","18,379","$51,881","$243,292","6,808","8.3","34.0","21,349","12,713","13,989","2,178","91","47.9%","52.1%","113.7","13.2%","27.2%","8.0%","88.0%","28.0","3.1","11.6%","1.7%","77.9%"
"33066","17,376","21.5%","3,737","$46,995","$110,769","5,462","3.2","56.4","11,765","1,323","2,074","291","15","45.6%","54.4%","109.9","6.7%","34.8%","15.1%","93.0%","25.9","2.0","5.8%","Means of transportation to work - Bus or trolley bus (%","85.3%"
"33067","28,534","23.5%","6,702","$102,152","$438,969","2,684","10.6","39.6","17,498","2,648","4,244","1,497","25","46.3%","53.7%","114.9","4.4%","54.8%","22.4%","98.4%","27.3","3.1","8.3%","0.4%","81.4%"
"33068","52,203","45.0%","23,501","$44,919","$142,734","8,761","6.0","32.6","9,067","25,507","12,065","1,567","80","48.1%","51.9%","111.7","17.3%","15.6%","5.0%","82.0%","29.4","3.5","14.9%","4.3%","75.8%"
"33069","27,581","28.6%","7,901","$43,704","$151,835","2,941","9.4","42.5","10,971","9,532","4,254","465","48","54.3%","45.7%","111.8","15.8%","24.0%","7.7%","84.7%","24.4","2.3","11.5%","4.4%","75.9%"
"33071","39,526","26.9%","10,648","$81,106","$343,073","5,136","7.7","38.2","21,421","4,353","8,660","1,668","32","48.8%","51.2%","114.0","7.5%","41.9%","14.6%","95.1%","29.3","3.1","7.2%","0.7%","84.4%"
