"zip_code","population","foreign_born_pct","foreign_born","median_household_income","median_home_price","population_density","land_area","median_age","white","black","hispanic","asian","native_american","male_pct","female_pct","cost_of_living_index","poverty","bachelors_degree","graduate_degree","hs_diploma","mean_travel_to_work","household_size","transport_carpool","transport_bus_trolley","transport_auto_alone"
"34101",,,,,,,,,,,,,,,,,,,,,,,,,
"34102","11,351","15.1%","1,713","$74,152","$876,050","2,008","5.7","61.2","8,858","756","652","74","13","48.4%","51.6%","104.4","12.3%","51.9%","20.8%","92.0%","18.0","2.0","5.3%","0.6%","72.6%"
"34103","12,946","16.2%","2,101","$83,229","$665,945","3,764","3.4","62.9","10,571","163","1,203","85","12","46.6%","53.4%","100.9","6.5%","51.5%","24.3%","93.3%","18.7","2.1","7.1%","0.1%","74.8%"
"34104","24,574","24.8%","6,089","$50,199","$243,514","2,456","10.0","52.8","15,801","1,746","5,508","342","42","47.4%","52.6%","95.8","14.5%","26.2%","11.8%","87.0%","21.7","2.4","14.2%","1.2%","73.3%"
"34105","16,428","16.3%","2,683","$80,763","$401,787","1,654","9.9","58.0","11,445","270","1,779","263","15","45.2%","54.8%","97.0","6.3%","49.1%","19.9%","95.5%","20.1","2.2","5.4%","Means of transportation to work - Bus or trolley bus (%","82.6%"
"34108","16,833","17.0%","2,862","$83,872","$712,339","2,169","7.8","63.8","14,784","138","1,616","167","21","48.5%","51.5%","101.3","7.7%","52.1%","23.6%","96.0%","18.4","2.1","10.5%","1.5%","67.7%"
"34109","24,698","19.7%","4,875","$61,724","$396,681","1,968","12.5","51.2","18,709","682","3,429","303","18","47.0%","53.0%","98.6","6.7%","48.0%","17.6%","95.1%","20.0","2.2","6.1%","0.4%","78.9%"
"34110","23,444","14.6%","3,411","$76,527","$358,611","1,502","15.6","63.5","18,262","146","1,938","255","17","46.8%","53.2%","97.2","6.3%","45.0%","20.0%","96.3%","25.2","2.2","7.9%","0.1%","78.9%"
"34112","26,068","20.3%","5,282","$50,693","$188,351","1,621","16.1","57.1","19,409","1,732","5,293","225","56","48.8%","51.2%","94.3","10.5%","29.4%","12.1%","87.8%","20.4","2.1","8.6%","0.8%","77.0%"
"34113","19,122","28.7%","5,496","$52,605","$276,145","682","28.0","48.3","9,391","2,022","6,252","127","35","50.4%","49.6%","96.9","13.4%","27.2%","11.9%","80.4%","22.9","2.7","8.5%","2.7%","80.9%"
"34114","15,832","28.0%","4,436","$54,974","$230,417","78","202.0","60.1","9,499","1,030","2,917","87","28","49.7%","50.3%","95.7","14.6%","27.1%","11.0%","84.0%","22.6","2.4","12.2%","5.2%","72.6%"
"34116","35,761","47.3%","16,918","$47,759","$193,235","3,740","9.6","32.7","9,707","4,028","15,537","291","76","50.1%","49.9%","95.0","19.1%","15.8%","5.3%","71.5%","24.9","3.8","20.6%","1.1%","71.4%"
"34117","15,184","28.9%","4,389","$63,696","$262,271","214","71.1","42.3","8,301","563","5,037","133","31","51.3%","48.7%","95.6","7.0%","20.5%","7.8%","83.8%","33.1","3.4","11.8%","0.3%","80.4%"
"34119","29,992","16.2%","4,850","$83,165","$434,529","1,314","22.8","51.3","21,409","656","2,941","457","21","48.7%","51.3%","98.3","6.2%","42.4%","18.4%","95.9%","24.2","2.5","7.4%","Means of transportation to work - Bus or trolley bus (%","75.4%"
"34120","31,686","19.0%","6,009","$75,789","$259,718","210","151.2","37.8","15,037","1,326","9,057","348","60","49.7%","50.3%","95.8","4.4%","30.1%","12.5%","86.0%","35.6","3.4","8.2%","0.2%","86.3%"
"34141","56","3.6%","2",,,"-0.068","-829.1","43.2","162","18","13","1","36","100.0%","0.0%","81.5","93.1%","0.0%","0.0%","0.0%",,,"Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%",
"34142","29,707","40.5%","12,045","$30,925","$103,332","51","586.4","26.9","2,637","5,132","19,015","48","101","55.4%","44.6%","93.0","39.3%","7.1%","2.9%","42.3%","31.0","4.8","20.9%","21.3%","44.2%"
"34145","17,610","14.4%","2,542","$76,611","$546,075","1,082","16.3","65.0","14,860","83","1,162","178","13","49.8%","50.2%","100.4","7.1%","47.0%","19.0%","92.1%","17.8","2.1","3.9%","Means of transportation to work - Bus or trolley bus (%","69.4%"
"34137","151","0.0%","0","$21,569",,"15","9.8","72.5","177","31","15","1","1","40.3%","59.7%","81.5","10.0%","0.0%","0.0%","98.6%",,"1.7","Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","97.0%"
"34138","131","0.0%","0","$2,603","$94,453","197","0.7","66.8","337","0","20","0","0","26.9%","73.1%","120.8","32.2%","34.3%","23.6%","100.2%",,"1.6","Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","36.0%"
"34139","762","1.8%","13","$24,247","$126,197","222","3.4","36.9","489","5","50","0","10","58.1%","41.9%","85.8","56.1%","22.6%","3.1%","88.7%","13.0","2.7","2.2%","Means of transportation to work - Bus or trolley bus (%","55.0%"
"34140","263","0.0%","0",,,"198","1.3","62.3",,,,,,"67.7%","32.3%","81.5","17.5%","51.7%","0.0%","101.1%",,"2.0","Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","99.5%"
