"zip_code","population","foreign_born_pct","foreign_born","median_household_income","median_home_price","population_density","land_area","median_age","white","black","hispanic","asian","native_american","male_pct","female_pct","cost_of_living_index","poverty","bachelors_degree","graduate_degree","hs_diploma","mean_travel_to_work","household_size","transport_carpool","transport_bus_trolley","transport_auto_alone"
"87001","4,157","0.4%","16","$53,424","$137,296","35","120.1","32.0","254","3","611","4","2,783","50.8%","49.2%","84.0","26.8%","11.4%","3.4%","75.6%","22.7","4.8","10.9%","Means of transportation to work - Bus or trolley bus (%","75.5%"
"87004","10,910","10.7%","1,172","$44,707","$158,606","193","56.6","40.5","2,085","59","6,508","31","1,352","49.7%","50.3%","92.1","18.2%","18.0%","7.8%","83.2%","25.0","2.8","6.4%","0.3%","84.5%"
"87013","4,901","0.6%","28","$29,013","$69,480","-5.911","-829.1","31.2","539","11","817","7","3,740","52.0%","48.0%","83.8","43.7%","12.4%","3.5%","64.7%","35.9","3.4","13.5%","0.7%","67.4%"
"87018","480","1.3%","6","$17,296","$27,748","4","120.7","32.3","10","1","12","0","492","48.7%","51.3%","81.6","47.7%","0.0%","0.0%","41.3%","50.2","3.1","11.7%","Means of transportation to work - Bus or trolley bus (%","60.2%"
"87024","2,367","0.4%","9","$36,061","$122,534","27","86.7","32.2","167","1","208","1","1,828","42.4%","57.6%","84.7","19.4%","11.5%","5.6%","91.7%","29.0","4.2","9.1%","Means of transportation to work - Bus or trolley bus (%","79.7%"
"87025","1,106","4.5%","49","$65,072","$280,918","3","346.4","53.6","978","3","200","13","26","55.8%","44.2%","86.8","11.2%","51.2%","24.9%","99.8%","30.7","1.8","29.2%","Means of transportation to work - Bus or trolley bus (%","52.6%"
"87027","225","2.4%","5","$21,611","$129,526","6","35.6","68.0","85","5","194","1","17","57.7%","42.3%","86.1","10.5%","12.7%","12.7%","95.1%",,"1.7","Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","98.9%"
"87041","828","2.8%","23","$44,263","$127,639","6","138.9","39.2","122","8","604","0","141","48.7%","51.3%","85.1","23.3%","14.5%","7.7%","76.2%","30.7","2.9","4.7%","Means of transportation to work - Bus or trolley bus (%","78.7%"
"87043","4,981","4.1%","202","$78,464","$353,839","58","85.6","59.9","3,805","42","1,047","51","50","47.7%","52.3%","88.7","7.3%","51.1%","23.4%","98.5%","30.2","2.0","6.4%","Means of transportation to work - Bus or trolley bus (%","76.0%"
"87044","339","1.2%","4","$39,707","$155,759","24","14.1","40.7","139","0","213","1","33","55.2%","44.8%","83.7","14.7%","16.2%","2.0%","91.4%","53.9","2.4","8.5%","Means of transportation to work - Bus or trolley bus (%","87.2%"
"87046","58","0.0%","0","$59,741","$277,477","0.955","60.8","65.6",,,,,,"46.6%","53.4%","84.5","12.8%","8.9%","0.0%","88.8%",,"1.8","Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","79.7%"
"87048","9,190","4.0%","367","$81,390","$465,051","854","10.8","53.0","5,861","81","2,383","101","117","48.9%","51.1%","95.4","8.1%","55.1%","30.8%","97.0%","27.3","2.4","4.9%","1.3%","79.0%"
"87052","3,449","0.5%","16","$38,911","$77,361","88","39.2","29.6","5","0","35","1","3,126","50.5%","49.5%","89.9","30.5%","6.1%","2.0%","76.7%","30.5","5.8","7.2%","Means of transportation to work - Bus or trolley bus (%","61.7%"
"87053","1,132","0.0%","0","$36,080","$103,443","4","287.9","32.5","54","0","185","1","754","48.9%","51.1%","85.5","25.8%","9.3%","1.6%","82.6%","30.1","3.5","10.5%","Means of transportation to work - Bus or trolley bus (%","73.4%"
"87072","661","0.0%","0","$47,568","$102,223","30","22.0","34.4","3","0","37","0","608","53.1%","46.9%","83.4","15.3%","8.7%","1.4%","94.5%","31.0","3.7","15.7%","Means of transportation to work - Bus or trolley bus (%","71.3%"
"87083","606","3.7%","22","$54,883","$172,813","457","1.3","58.4","340","5","84","6","119","48.2%","51.8%","87.1","4.1%","48.7%","21.0%","99.8%","41.1","2.0","6.8%","Means of transportation to work - Bus or trolley bus (%","79.6%"
"87124","54,815","6.2%","3,376","$61,166","$186,909","779","70.4","39.5","28,330","1,185","18,371","980","1,247","48.2%","51.8%","92.9","11.2%","29.0%","11.7%","92.8%","29.0","2.7","7.2%","0.7%","84.6%"
"87144","41,572","6.1%","2,542","$68,537","$198,119","467","89.0","34.1",,,,,,"50.0%","50.0%","88.2","10.7%","32.8%","12.6%","93.2%","31.7","3.0","8.5%","0.2%","84.2%"
