zip_code,population,foreign_born_pct,foreign_born,median_household_income,median_home_price,population_density,land_area,median_age,white,black,hispanic,asian,native_american,male_pct,female_pct,cost_of_living_index,poverty,bachelors_degree,graduate_degree,hs_diploma,mean_travel_to_work,household_size,transport_carpool,transport_bus_trolley,transport_auto_alone
77382,38685,20.10%,7794,"$142,639.00","$418,879.00",3431,11.3,39.5,27364,703,4605,1977,77,47.70%,52.30%,96.6,2.90%,67.50%,25.30%,99.10%,33.5,3.1,4.90%,3.60%,82.20%
77381,37541,12.40%,4659,"$106,781.00","$358,278.00",2866,13.1,43.4,28742,757,3509,1263,108,48.40%,51.60%,95.5,3.80%,62.00%,24.20%,99.40%,31.4,2.6,6.80%,3.20%,80.70%
77386,50785,10.20%,5203,"$97,352.00","$216,543.00",1262,40.3,32.5,24325,2589,7505,1095,138,49.00%,51.00%,94.2,3.00%,43.50%,12.30%,94.80%,33.5,3.2,6.10%,1.90%,83.60%
77385,23352,13.30%,3110,"$94,498.00","$210,883.00",1071,21.8,33.9,13609,1033,3911,578,82,52.10%,47.90%,93.4,8.30%,33.40%,11.00%,88.20%,30.1,3.1,11.10%,1.00%,80.20%
77316,19644,7.60%,1498,"$88,658.00","$267,377.00",156,126.2,39.3,13480,429,1668,139,91,49.20%,50.80%,85.6,7.20%,31.80%,9.50%,88.90%,44.6,2.9,8.20%,0.70%,81.60%
77354,35525,9.20%,3264,"$88,431.00","$253,170.00",468,75.9,37.8,23300,748,5351,290,137,49.50%,50.50%,94.2,11.30%,30.60%,9.80%,88.80%,35.5,3.1,10.40%,0.40%,80.80%
77384,15824,13.00%,2057,"$82,161.00","$298,676.00",905,17.5,40.1,9530,357,1255,477,63,46.90%,53.10%,96,3.80%,47.80%,17.50%,95.60%,32.4,2.4,6.30%,0.60%,84.40%
77355,26895,7.20%,1942,"$81,162.00","$209,884.00",471,57,40.5,19153,329,3993,115,120,49.10%,50.90%,85.2,6.90%,28.90%,8.10%,87.70%,40.1,3,7.70%,0.80%,85.90%
77356,25823,3.80%,968,"$77,165.00","$263,603.00",198,130.1,51.1,21363,767,1699,245,100,48.10%,51.90%,95.4,6.90%,40.30%,11.90%,96.30%,41.9,2.4,7.40%,0.70%,76.70%
77380,27338,16.40%,4480,"$71,443.00","$220,428.00",2199,12.4,35.4,16653,1082,3949,946,65,51.00%,49.00%,94.8,8.70%,48.90%,21.00%,95.00%,25.9,2.4,8.50%,1.60%,79.90%
77365,31083,14.90%,4631,"$70,739.00","$180,915.00",876,35.5,35.8,16078,690,8212,305,130,50.80%,49.20%,93,14.40%,20.50%,8.30%,80.10%,30.1,3,14.60%,0.10%,78.00%
77318,15513,5.20%,808,"$64,501.00","$209,884.00",404,38.4,44.9,11858,528,1512,98,77,49.70%,50.30%,94.7,6.20%,28.10%,9.20%,91.30%,41.2,2.6,11.80%,1.00%,81.10%
77302,19385,12.10%,2337,"$64,346.00","$149,949.00",336,57.7,37.1,13197,362,4059,194,66,49.30%,50.70%,91.9,9.40%,18.30%,6.00%,82.90%,32.4,3,10.00%,0.70%,84.50%
77362,4777,8.30%,397,"$61,088.00","$160,049.00",587,8.1,33.3,3293,77,1138,25,16,55.70%,44.30%,94.5,24.60%,22.50%,4.20%,87.30%,45.6,3.3,3.20%,Means of transportation to work - Bus or trolley bus (%,88.60%
77304,28471,10.20%,2895,"$60,081.00","$201,004.00",753,37.8,36.5,15621,1439,3378,485,97,50.70%,49.30%,94,10.70%,36.10%,14.00%,88.10%,27.7,2.5,11.00%,1.10%,81.10%
77303,19634,12.90%,2526,"$50,208.00","$122,534.00",317,61.8,34.4,11429,680,4217,144,49,47.70%,52.30%,84.7,14.60%,12.30%,2.40%,75.40%,30.9,3,8.20%,0.30%,85.00%
77378,15175,15.40%,2338,"$49,052.00","$106,773.00",156,97.2,33,8512,1267,4593,36,50,51.40%,48.60%,91.6,18.10%,13.90%,3.50%,79.60%,28.8,3.1,9.10%,0.20%,88.80%
77372,12279,9.10%,1116,"$48,673.00","$89,126.00",237,51.9,38.8,9918,101,1883,49,60,48.90%,51.10%,91.4,19.10%,7.10%,1.30%,73.90%,35.3,2.9,10.30%,Means of transportation to work - Bus or trolley bus (%,85.30%
77357,23827,16.40%,3908,"$47,822.00","$105,330.00",380,62.8,31.5,14129,393,5000,94,105,51.20%,48.80%,91.9,20.00%,9.50%,2.70%,69.90%,36,3.3,11.60%,0.10%,81.60%
77306,11840,18.30%,2164,"$40,578.00","$83,909.00",288,41.1,33.4,6928,108,4689,52,47,47.00%,53.00%,84.1,28.80%,5.10%,0.10%,67.80%,34.6,3.1,15.70%,Means of transportation to work - Bus or trolley bus (%,79.60%
77301,31894,28.20%,8980,"$39,846.00","$114,764.00",1687,18.9,32.5,9841,3464,16754,299,70,50.40%,49.60%,92.6,21.30%,12.50%,3.50%,63.90%,25.6,3.1,16.00%,0.80%,75.50%
