"zip_code","population","foreign_born_pct","foreign_born","median_household_income","median_home_price","population_density","land_area","median_age","white","black","hispanic","asian","native_american","male_pct","female_pct","cost_of_living_index","poverty","bachelors_degree","graduate_degree","hs_diploma","mean_travel_to_work","household_size","transport_carpool","transport_bus_trolley","transport_auto_alone"
"78330","908","3.2%","28","$44,201","$72,588","52","17.5","40.9","215","9","636","1","0","49.1%","50.9%","78.7","15.8%","17.6%","4.7%","81.7%","32.0","2.9","2.9%","Means of transportation to work - Bus or trolley bus (%","90.1%"
"78339","540","9.1%","49","$41,334","$63,154","543","1.0","42.6","34","0","593","0","0","58.0%","42.0%","79.1","18.3%","8.0%","0.0%","74.3%","26.9","2.6","3.2%","Means of transportation to work - Bus or trolley bus (%","90.2%"
"78343","4,198","7.8%","326","$46,472","$80,801","25","165.2","40.3","1,384","51","3,040","12","18","51.8%","48.2%","84.9","18.0%","13.7%","4.5%","76.5%","24.7","2.8","12.5%","Means of transportation to work - Bus or trolley bus (%","83.7%"
"78347",,,,,,,,,,,,,,,,,,,,,,,,,
"78351","473","6.6%","31","$36,688","$42,842","221","2.1","30.3","90","1","522","0","2","44.8%","55.2%","79.9","33.4%","2.4%","2.4%","59.6%","20.6","3.3","29.7%","Means of transportation to work - Bus or trolley bus (%","66.0%"
"78373","4,039","4.5%","180","$52,315","$297,455","243","16.6","49.9","3,168","10","282","45","31","46.5%","53.5%","85.7","8.7%","31.1%","12.0%","97.7%","16.2","2.1","4.2%","Means of transportation to work - Bus or trolley bus (%","70.5%"
"78380","24,377","4.0%","969","$50,648","$85,907","73","335.9","34.8","4,713","185","18,110","32","36","48.7%","51.3%","84.8","20.6%","11.6%","3.7%","72.4%","24.3","3.2","13.6%","Means of transportation to work - Bus or trolley bus (%","78.3%"
"78401","5,208","8.6%","447","$25,847","$67,149","2,417","2.2","40.4","1,577","590","3,124","12","34","57.7%","42.3%","85.6","33.6%","12.6%","4.3%","72.8%","18.3","1.9","13.9%","11.0%","63.2%"
"78402","365","0.0%","0","$73,685","$170,482","334","1.1","57.5","363","4","140","22","1","53.1%","46.9%","88.6","10.6%","34.0%","10.3%","91.4%","16.0","1.8","12.8%","Means of transportation to work - Bus or trolley bus (%","66.8%"
"78403",,,,,,,,,,,,,,,,,,,,,,,,,
