"zip_code","population","foreign_born_pct","foreign_born","median_household_income","median_home_price","population_density","land_area","median_age","white","black","hispanic","asian","native_american","male_pct","female_pct","cost_of_living_index","poverty","bachelors_degree","graduate_degree","hs_diploma","mean_travel_to_work","household_size","transport_carpool","transport_bus_trolley","transport_auto_alone"
"76901","28,834","5.2%","1,487","$51,098","$107,550","104","276.1","37.4","16,741","782","9,765","183","101","48.9%","51.1%","83.8","11.7%","21.2%","8.2%","84.1%","17.9","2.5","8.9%","0.5%","83.2%"
"76903","32,674","11.3%","3,706","$37,477","$80,801","1,227","26.6","36.7","11,874","1,475","17,834","175","105","48.1%","51.9%","83.3","20.7%","11.4%","3.1%","69.7%","18.4","2.6","13.6%","0.1%","80.4%"
"76904","35,761","4.0%","1,421","$58,190","$193,013","89","403.9","32.9","24,118","1,126","6,340","501","124","49.6%","50.4%","85.3","7.4%","36.9%","11.7%","95.4%","17.6","2.4","8.0%","Means of transportation to work - Bus or trolley bus (%","86.5%"
"76905","13,748","7.8%","1,072","$56,250","$123,644","66","207.9","31.0","6,325","340","4,329","126","53","49.2%","50.8%","84.8","11.7%","19.4%","6.6%","82.2%","17.4","3.0","11.4%","0.2%","83.1%"
"76908","2,742","3.3%","91",,,"1,966","1.4","21.8",,,,,,"71.0%","29.0%","78.9",,"53.9%","30.8%","101.3%",,,"Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","16.6%"
"76934","1,398","2.4%","33","$50,713","$127,195","90","15.6","36.2","992","42","216","1","6","53.2%","46.8%","79.9","9.0%","17.2%","6.8%","82.5%","29.0","2.8","6.8%","Means of transportation to work - Bus or trolley bus (%","86.7%"
"76935","1,347","1.3%","18","$74,206","$177,363","5","292.0","53.8","1,372","5","201","7","1","45.4%","54.6%","80.4","6.7%","26.3%","7.5%","93.3%","35.9","2.5","4.1%","Means of transportation to work - Bus or trolley bus (%","84.5%"
"76939","56","0.0%","0",,,"2","32.1","32.9",,,,,,"66.1%","33.9%","78.9",,"13.4%","13.4%","64.3%",,"3.1","Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","97.0%"
"76940","116","0.0%","0","$63,531",,"8","14.8","49.1","79","0","97","0","0","45.2%","54.8%","78.9","9.0%","10.3%","7.5%","85.7%",,"1.9","Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","64.3%"
"76955","122","0.0%","0",,,"3","48.5","63.4","75","0","56","0","0","55.4%","44.6%","78.9",,"38.7%","0.0%","100.0%",,"2.3","Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","65.1%"
"76957",,,,,,,,,,,,,,,,,,,,,,,,,
"76958","166","0.0%","0","$50,619","$131,857","2","98.5","47.3","272","6","25","0","0","48.8%","51.2%","77.8","2.3%","45.3%","27.1%","95.9%","27.6","2.4","Means of transportation to work - Carpooled (%","Means of transportation to work - Bus or trolley bus (%","90.6%"
