zip_code,population,foreign_born_pct,foreign_born,median_household_income,median_home_price,population_density,land_area,median_age,w+h,white,w_pct,black,b_pct,hispanic,h_pct,asian,a_pct,native_american,na_pct,male_pct,female_pct,cost_of_living_index,poverty,bachelors_degree,graduate_degree,hs_diploma,mean_travel_to_work,household_size,transport_carpool,transport_bus_trolley,transport_auto_alone
78617,"26,500",21.90%,"5,798","$49,524 ","$128,305 ",382,69.4,30.2,73.41%,"4,497",16.97%,"2,132",8.05%,"14,956",56.44%,282,1.06%,53,0.20%,53.10%,46.90%,92.5,19.60%,10.50%,2.90%,66.00%,30.3,3.8,14.30%,1.40%,80.50%
78645,"10,437",8.40%,876,"$73,316 ","$225,977 ",330,31.6,52.2,90.22%,"8,202",78.59%,91,0.87%,"1,214",11.63%,86,0.82%,43,0.41%,50.20%,49.80%,92.9,8.20%,36.00%,10.40%,92.00%,39.3,2.3,11.80%,0.50%,72.20%
78652,"4,989",12.10%,605,"$81,854 ","$240,295 ",289,17.3,40.3,85.11%,"3,144",63.02%,107,2.14%,"1,102",22.09%,47,0.94%,10,0.20%,45.50%,54.50%,93.2,4.70%,41.10%,12.70%,90.40%,33.3,2.5,8.90%,1.10%,78.10%
78653,"19,605",17.80%,"3,487","$63,406 ","$169,372 ",187,104.6,33,63.83%,"5,282",26.94%,"3,219",16.42%,"7,231",36.88%,284,1.45%,29,0.15%,50.90%,49.10%,93.4,16.20%,23.70%,5.50%,81.90%,33.7,3.3,12.90%,1.00%,79.50%
78660,"82,869",17.40%,"14,423","$81,387 ","$200,671 ","1,828",45.3,34,61.54%,"30,392",36.67%,"10,349",12.49%,"20,609",24.87%,"5,625",6.79%,179,0.22%,48.40%,51.60%,93,7.10%,38.40%,11.50%,91.90%,26.4,3,10.50%,0.50%,82.10%
78669,"10,887",4.30%,464,"$96,728 ","$421,987 ",78,139.8,47.7,77.57%,"7,590",69.72%,45,0.41%,855,7.85%,80,0.73%,35,0.32%,46.20%,53.80%,84.3,8.00%,44.60%,16.10%,98.20%,39.6,2.7,8.60%,Means of transportation to work - Bus or trolley bus (%,70.80%
78701,"7,507",14.50%,"1,087","$106,348 ","$496,240 ","4,609",1.6,36.7,76.81%,"4,764",63.46%,512,6.82%,"1,002",13.35%,405,5.39%,28,0.37%,59.40%,40.60%,98,8.70%,77.60%,36.60%,98.00%,19.1,1.5,2.00%,1.10%,60.80%
78702,"22,941",15.50%,"3,560","$50,172 ","$278,587 ","4,590",5,33.7,75.05%,"5,310",23.15%,"3,544",15.45%,"11,907",51.90%,211,0.92%,60,0.26%,50.60%,49.40%,95.6,23.00%,37.00%,12.40%,78.80%,20.4,2.5,8.60%,4.90%,65.30%
78703,"21,113",10.40%,"2,196","$96,594 ","$815,782 ","3,782",5.6,36.6,84.79%,"16,307",77.24%,248,1.17%,"1,595",7.55%,"1,154",5.47%,54,0.26%,48.60%,51.40%,100.7,6.80%,87.30%,42.00%,101.00%,19.3,2.1,2.80%,5.40%,72.80%
78704,"47,140",9.80%,"4,617","$64,867 ","$468,159 ","5,425",8.7,32.4,82.50%,"26,861",56.98%,"1,419",3.01%,"12,029",25.52%,769,1.63%,135,0.29%,51.90%,48.10%,98.4,15.20%,64.30%,22.50%,95.40%,21.8,2,5.50%,4.20%,67.80%
78705,"32,878",13.60%,"4,483","$13,903 ","$480,368 ","14,972",2.2,21,72.35%,"19,025",57.87%,929,2.83%,"4,762",14.48%,"5,660",17.22%,45,0.14%,47.60%,52.40%,130.5,60.30%,68.80%,27.90%,98.40%,16.8,2.4,6.20%,4.70%,47.80%
78712,860,7.10%,60,,,"2,701",0.3,19.9,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,50.10%,49.90%,78.9,,102.20%,0.00%,102.20%,14.4,,3.50%,Means of transportation to work - Bus or trolley bus (%,56.00%
78719,"1,787",19.60%,350,"$47,127 ","$134,521 ",96,18.7,43.8,94.74%,364,20.37%,54,3.02%,"1,329",74.37%,6,0.34%,1,0.06%,49.60%,50.40%,80.9,16.30%,8.80%,2.90%,53.10%,26.7,4,22.90%,Means of transportation to work - Bus or trolley bus (%,71.70%
78721,"12,327",15.70%,"1,937","$39,890 ","$197,675 ","3,329",3.7,33.6,59.54%,"1,289",10.46%,"3,841",31.16%,"6,051",49.09%,75,0.61%,21,0.17%,45.10%,54.90%,94.8,27.20%,21.60%,6.90%,70.40%,23.5,2.9,6.10%,3.90%,75.90%
78722,"7,396",7.80%,575,"$66,196 ","$347,734 ","4,884",1.5,32.5,64.41%,"3,681",49.77%,795,10.75%,"1,083",14.64%,164,2.22%,10,0.14%,45.40%,54.60%,96.1,13.00%,66.40%,26.40%,97.10%,18.8,2.3,8.30%,5.40%,64.30%
78723,"32,962",20.50%,"6,760","$44,224 ","$256,722 ","4,748",6.9,32.9,62.13%,"8,314",25.22%,"6,764",20.52%,"12,165",36.91%,516,1.57%,42,0.13%,49.40%,50.60%,95.5,25.00%,38.10%,13.20%,82.10%,24.6,2.6,12.20%,5.60%,71.30%
